date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-21,2256.0,2256.0,454.0,454.0,,,37.312798415555676,7.5088698939105845,
2020-04-22,2729.0,4985.0,534.0,988.0,44248.0,45248.0,82.4487145840182,16.340888667805412,748.3730065190883
2020-05-23,3370.0,8355.0,437.0,1425.0,37083.0,82331.0,138.18636115335448,23.568589424719345,1361.7021304747848
2020-05-24,2646.0,11001.0,464.0,1889.0,37879.5,120210.5,181.94951035883335,31.24285292862796,1988.2048554668245
2020-04-25,3021.0,14022.0,420.0,2309.0,38676.0,158886.5,231.91491993923836,38.18938454854524,2627.8811814952073
2020-04-26,2357.0,16379.0,415.0,2724.0,24113.0,182999.5,270.89819381577416,45.053219363463505,3026.6947932834582
2020-06-27,2324.0,18703.0,260.0,2984.0,26678.0,209677.5,309.33566877931645,49.3534532234123,3467.9318660362037
2020-04-28,1739.0,20442.0,333.0,3317.0,37554.0,247231.5,338.09761755797393,54.86106043634671,4089.0510290228076
